,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant
2270,Pierce,27400.0,Clover Park School District,1825.0,Alfaretta House,S,12th Grade,7,1,0,6,0,0,1,1,0,1,4,0,0,0,0,7,0,1,2,0,7,7,7,7,7,0,7
2293,Pierce,27400.0,Clover Park School District,2425.0,Clover Park High School,P,12th Grade,265,150,0,115,1,20,45,98,29,29,43,31,0,0,9,206,0,17,24,1,34,234,264,265,256,59,265
2298,Pierce,27400.0,Clover Park School District,5411.0,CPSD Open Doors Program,R,12th Grade,80,38,0,42,1,1,10,33,3,11,21,10,0,1,3,58,0,8,37,2,6,70,80,79,77,22,80
2325,Pierce,27400.0,Clover Park School District,2041.0,Firwood,I,12th Grade,7,4,0,3,1,0,1,0,0,1,4,0,0,0,0,3,0,0,6,0,3,7,7,7,7,4,7
2368,Pierce,27400.0,Clover Park School District,3456.0,Lakes High School,P,12th Grade,263,127,0,136,1,17,32,52,9,37,114,14,0,1,12,117,0,58,15,4,16,249,259,262,251,146,263
2413,Pierce,27400.0,Clover Park School District,5298.0,Oakridge Group Home,I,12th Grade,4,0,0,4,0,0,1,1,0,1,1,0,0,0,0,3,0,0,2,0,1,4,4,4,4,1,4
2456,Pierce,27400.0,Clover Park School District,5297.0,Transition Day Students,P,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2471,Pierce,27932.0,Clover Park Technical College,5951.0,Northwest Career and Technical High School,V,12th Grade,231,114,1,116,3,8,22,54,6,25,113,0,0,0,0,0,0,0,0,0,0,231,230,231,231,231,231
2475,Whitman,38300.0,Colfax School District,3366.0,Colfax High School,P,12th Grade,40,20,0,20,0,1,0,1,0,4,34,0,0,0,0,14,0,0,0,2,7,40,39,40,40,26,40
2492,Walla Walla,36250.0,College Place School District,5362.0,College Place High School,P,12th Grade,96,40,0,56,0,0,0,32,1,3,60,9,0,9,2,42,3,1,3,3,7,87,96,87,94,54,93
2510,Whitman,38306.0,Colton School District,2588.0,Colton School,P,12th Grade,12,7,0,5,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,12,12,12,12,12,12
2527,Stevens,33206.0,Columbia (Stevens) School District,3508.0,Columbia High And Elementary,P,12th Grade,13,3,0,10,2,0,0,0,0,2,9,0,0,0,2,11,0,0,0,0,3,13,13,13,11,2,13
2550,Walla Walla,36400.0,Columbia (Walla Walla) School District,4049.0,Columbia High School,P,12th Grade,46,16,0,30,0,0,0,14,0,2,30,1,0,0,0,20,1,0,0,0,9,45,46,46,46,26,45
2564,Stevens,33115.0,Colville School District,3310.0,Colville Senior High School,P,12th Grade,140,70,0,70,2,1,1,3,0,12,121,1,0,2,1,57,0,4,5,4,20,139,139,138,139,83,140
2578,Stevens,33115.0,Colville School District,1594.0,Panorama School,A,12th Grade,20,9,0,11,0,0,0,3,0,3,14,0,0,0,1,13,0,0,4,0,2,20,20,20,19,7,20
2600,Skagit,29011.0,Concrete School District,2810.0,Concrete High School,P,12th Grade,38,13,0,25,0,0,0,4,1,1,32,0,0,0,1,20,0,0,1,1,7,38,38,38,37,18,38
2609,Skagit,29011.0,Concrete School District,1605.0,Twin Cedars High School,A,12th Grade,6,3,0,3,0,0,0,0,0,0,6,0,0,0,0,5,0,0,3,0,3,6,6,6,6,1,6
2634,Grant,13151.0,Coulee-Hartline School District,2968.0,Almira Coulee Hartline High School,P,12th Grade,27,12,0,15,0,0,0,0,0,0,27,0,0,0,0,7,0,0,1,0,0,27,27,27,27,20,27
2655,Island,15204.0,Coupeville School District,2625.0,Coupeville High School,P,12th Grade,66,27,0,39,0,1,1,8,0,8,48,1,0,0,8,23,1,3,2,4,13,65,66,66,58,43,65
2663,Island,15204.0,Coupeville School District,5412.0,Open Den,R,12th Grade,24,5,0,19,1,0,0,2,0,1,20,0,0,0,7,16,0,1,10,1,1,24,24,24,17,8,24
2667,Clallam,5313.0,Crescent School District,3473.0,Crescent School,P,12th Grade,17,6,0,11,0,0,0,0,0,1,16,0,0,0,0,8,0,0,0,1,2,17,17,17,17,9,17
2701,Lincoln,22073.0,Creston School District,2863.0,Creston Jr-Sr High School,P,12th Grade,12,4,0,8,0,0,0,1,0,0,11,0,0,0,0,2,0,0,1,0,3,12,12,12,12,10,12
2708,Ferry,10050.0,Curlew School District,2006.0,Curlew Elem & High School,P,12th Grade,25,8,0,17,1,0,2,3,0,0,19,0,0,0,4,12,0,0,5,0,3,25,24,25,21,13,25
2731,Pend Oreille,26059.0,Cusick School District,2423.0,Cusick Jr Sr High School,P,12th Grade,17,9,0,8,2,0,0,3,0,0,12,0,0,0,2,8,0,0,2,1,3,17,17,17,15,9,17
2739,Pend Oreille,26059.0,Cusick School District,5538.0,Home Pride,5,12th Grade,3,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3
2771,Snohomish,31330.0,Darrington School District,3188.0,Darrington High School,P,12th Grade,34,12,0,22,4,2,1,1,0,4,22,0,0,1,4,18,0,0,2,5,4,34,34,33,30,16,34
2784,Lincoln,22207.0,Davenport School District,3173.0,Davenport Senior High School,P,12th Grade,46,28,0,18,1,0,0,2,0,0,43,0,0,0,2,27,0,1,0,1,7,46,46,46,44,19,46
2800,Columbia,7002.0,Dayton School District,2302.0,Dayton High School,P,12th Grade,28,15,0,13,0,1,0,3,0,0,24,0,0,0,1,10,0,0,2,1,1,28,28,28,27,18,28
2821,Spokane,32414.0,Deer Park School District,4123.0,Deer Park High School,P,12th Grade,158,74,0,84,5,0,2,8,0,4,139,0,0,8,8,76,0,1,10,10,24,158,155,150,150,82,158
2826,Spokane,32414.0,Deer Park School District,1852.0,Deer Park Home Link Program,5,12th Grade,44,20,0,24,1,0,2,3,0,1,37,0,0,0,0,11,0,0,0,5,0,44,44,44,44,33,44
2888,Spokane,32361.0,East Valley School District (Spokane),3360.0,East Valley High School,P,12th Grade,277,138,0,139,3,1,1,41,0,11,220,6,0,6,12,129,0,0,20,15,56,271,276,271,265,148,277
2898,Spokane,32361.0,East Valley School District (Spokane),5432.0,EV Online,A,12th Grade,13,3,0,10,0,0,0,0,1,0,12,0,0,0,0,6,0,1,5,1,0,13,13,13,13,7,13
2905,Spokane,32361.0,East Valley School District (Spokane),5433.0,EV Parent Partnership,5,12th Grade,11,6,0,5,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,3,1,11,11,11,11,4,11
2958,Yakima,39090.0,East Valley School District (Yakima),2344.0,East Valley High School,P,12th Grade,224,101,0,123,1,2,1,89,0,2,129,12,0,0,8,105,14,0,11,8,30,212,224,224,216,119,210
2978,Douglas,9206.0,Eastmont School District,2986.0,Canyon View Group Home,I,12th Grade,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,2,2,2,2
2991,Douglas,9206.0,Eastmont School District,3372.0,Eastmont Junior High,P,12th Grade,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
2999,Douglas,9206.0,Eastmont School District,2727.0,Eastmont Senior High,P,12th Grade,523,243,0,280,1,11,4,234,2,12,259,48,0,13,26,276,64,2,35,19,53,475,521,510,497,247,459
3035,Kittitas,19028.0,Easton School District,3554.0,Easton School,P,12th Grade,5,2,0,3,0,0,0,1,0,1,3,0,0,0,1,3,0,0,0,1,1,5,5,5,4,2,5
3071,Pierce,27404.0,Eatonville School District,2206.0,Eatonville High School,P,12th Grade,144,74,0,70,1,0,1,13,0,11,118,0,0,0,8,57,0,2,3,8,14,144,141,144,136,87,144
3084,Pierce,27404.0,Eatonville School District,5332.0,ESD New Beginnings,R,12th Grade,5,2,0,3,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4,1,0,5,5,5,5,3,5
3175,Snohomish,31015.0,Edmonds School District,1830.0,Contracted Schools,S,12th Grade,6,0,0,6,0,0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,6,6,6,6,5,5,6
3189,Snohomish,31015.0,Edmonds School District,5358.0,Edmonds Career Access Program,R,12th Grade,225,115,1,109,3,8,10,61,1,26,116,20,0,0,5,78,0,0,47,12,3,205,223,225,220,147,225
3193,Snohomish,31015.0,Edmonds School District,1519.0,Edmonds eLearning Academy,A,12th Grade,31,15,0,16,0,2,4,5,1,2,17,1,0,0,0,11,0,0,15,4,4,30,31,31,31,20,31
3209,Snohomish,31015.0,Edmonds School District,1966.0,Edmonds Heights K-12,A,12th Grade,55,31,0,24,0,3,0,1,0,8,43,0,0,0,0,6,0,0,3,6,3,55,55,55,55,49,55
3223,Snohomish,31015.0,Edmonds School District,3123.0,Edmonds Woodway High School,P,12th Grade,373,190,0,183,1,62,26,58,1,28,197,18,0,62,6,107,0,0,9,35,43,355,372,311,367,266,373
3260,Snohomish,31015.0,Edmonds School District,3755.0,Lynnwood High School,P,12th Grade,336,165,1,170,0,81,25,85,1,18,126,39,0,1,6,153,1,1,8,20,57,297,336,335,330,183,335
3302,Snohomish,31015.0,Edmonds School District,3464.0,Meadowdale High School,P,12th Grade,348,163,0,185,0,60,21,66,4,26,171,30,0,3,7,117,0,2,10,22,19,318,348,345,341,231,348
3319,Snohomish,31015.0,Edmonds School District,3303.0,Mountlake Terrace High School,P,12th Grade,313,146,0,167,0,45,12,38,1,35,182,20,0,22,3,92,0,2,12,28,31,293,311,291,310,221,313
3332,Snohomish,31015.0,Edmonds School District,3854.0,Scriber Lake High School,A,12th Grade,107,43,1,63,0,8,6,21,3,12,57,7,0,0,8,60,0,0,23,9,47,100,107,107,99,47,107
3389,Kittitas,19401.0,Ellensburg School District,2996.0,Ellensburg High School,P,12th Grade,244,128,0,116,0,3,0,36,2,9,194,15,0,9,1,84,1,1,6,10,30,229,244,235,243,160,243
